Title==>,{}
屬性,,Gain(A)
結論,0.9402859586706311,
Weather,0.6935361388961918,0.24674981977443933
Humidity,0.7884504573082896,0.15183550136234159
Wind,0.8380423950607804,0.10224356360985076
Temperature,0.9389462162661898,0.0013397424044413464
Title==>,"{""Weather"": ""Rainy""}"
屬性,,Gain(A)
結論,0.9709505944546686,
Wind,0.0,0.9709505944546686
Humidity,0.9509775004326937,0.01997309402197489
Temperature,0.9509775004326937,0.01997309402197489
Title==>,"{""Weather"": ""Sunny""}"
屬性,,Gain(A)
結論,0.9709505944546686,
Humidity,0.0,0.9709505944546686
Wind,0.9509775004326937,0.01997309402197489
Temperature,0.9509775004326937,0.01997309402197489
