Wind,Temperature,Humidity,Weather,Go-on-a-picnic
No,Hot,High,Cloud,Good
No,Hot,High,Sunny,No
No,Hot,Normal,Cloud,Good
No,Hot,Normal,Cloud,Good
No,Hot,Normal,Rainy,Good
No,Hot,Normal,Rainy,Good
No,Hot,Normal,Sunny,Good
No,Hot,Normal,Sunny,Good
No,Moderate,High,Rainy,Good
No,Moderate,High,Sunny,No
No,Moderate,Normal,Cloud,No
No,Moderate,Normal,Rainy,Good
Yes,Hot,High,Sunny,No
Yes,Hot,Normal,Rainy,No
Yes,Moderate,High,Cloud,Good
Yes,Moderate,High,Rainy,No
Yes,Moderate,Normal,Cloud,No
Yes,Moderate,Normal,Rainy,No
Yes,Moderate,Normal,Sunny,Good
